n,t,y
20,0.0000000000,1.0000000000
20,0.2500000000,1.0000000000
20,0.5000000000,0.9922281054
20,0.7500000000,0.9635667195
20,1.0000000000,0.9055972569
20,1.2500000000,0.8142735191
20,1.5000000000,0.6895357299
20,1.7500000000,0.5348360979
20,2.0000000000,0.3565655595
20,2.2500000000,0.1633874605
20,2.5000000000,-0.0345028103
20,2.7500000000,-0.2261630116
20,3.0000000000,-0.4006978534
20,3.2500000000,-0.5480215142
20,3.5000000000,-0.6595485547
20,3.7500000000,-0.7287755878
20,4.0000000000,-0.7517215302
20,4.2500000000,-0.7272020529
20,4.5000000000,-0.6569234121
20,4.7500000000,-0.5453915090
20,5.0000000000,-0.3996430935
100,0.0000000000,1.0000000000
100,0.0500000000,1.0000000000
100,0.1000000000,0.9999375130
100,0.1500000000,0.9996908456
100,0.2000000000,0.9991448572
100,0.2500000000,0.9981909433
100,0.3000000000,0.9967270172
100,0.3500000000,0.9946574908
100,0.4000000000,0.9918932519
100,0.4500000000,0.9883516390
100,0.5000000000,0.9839564122
100,0.5500000000,0.9786377197
100,0.6000000000,0.9723320598
100,0.6500000000,0.9649822375
100,0.7000000000,0.9565373156
100,0.7500000000,0.9469525592
100,0.8000000000,0.9361893747
100,0.8500000000,0.9242152414
100,0.9000000000,0.9110036366
100,0.9500000000,0.8965339532
100,1.0000000000,0.8807914100
100,1.0500000000,0.8637669548
100,1.1000000000,0.8454571595
100,1.1500000000,0.8258641076
100,1.2000000000,0.8049952742
100,1.2500000000,0.7828633982
100,1.3000000000,0.7594863464
100,1.3500000000,0.7348869706
100,1.4000000000,0.7090929564
100,1.4500000000,0.6821366657
100,1.5000000000,0.6540549709
100,1.5500000000,0.6248890824
100,1.6000000000,0.5946843697
100,1.6500000000,0.5634901751
100,1.7000000000,0.5313596219
100,1.7500000000,0.4983494161
100,1.8000000000,0.4645196425
100,1.8500000000,0.4299335556
100,1.9000000000,0.3946573655
100,1.9500000000,0.3587600189
100,2.0000000000,0.3223129764
100,2.0500000000,0.2853899857
100,2.1000000000,0.2480668519
100,2.1500000000,0.2104212041
100,2.2000000000,0.1725322606
100,2.2500000000,0.1344805917
100,2.3000000000,0.0963478810
100,2.3500000000,0.0582166859
100,2.4000000000,0.0201701977
100,2.4500000000,-0.0177079979
100,2.5000000000,-0.0553341607
100,2.5500000000,-0.0926246335
100,2.6000000000,-0.1294960786
100,2.6500000000,-0.1658657123
100,2.7000000000,-0.2016515365
100,2.7500000000,-0.2367725668
100,2.8000000000,-0.2711490574
100,2.8500000000,-0.3047027215
100,2.9000000000,-0.3373569473
100,2.9500000000,-0.3690370082
100,3.0000000000,-0.3996702680
100,3.0500000000,-0.4291863794
100,3.1000000000,-0.4575174766
100,3.1500000000,-0.4845983603
100,3.2000000000,-0.5103666752
100,3.2500000000,-0.5347630803
100,3.3000000000,-0.5577314101
100,3.3500000000,-0.5792188280
100,3.4000000000,-0.5991759706
100,3.4500000000,-0.6175570817
100,3.5000000000,-0.6343201383
100,3.5500000000,-0.6494269658
100,3.6000000000,-0.6628433428
100,3.6500000000,-0.6745390965
100,3.7000000000,-0.6844881865
100,3.7500000000,-0.6926687788
100,3.8000000000,-0.6990633077
100,3.8500000000,-0.7036585279
100,3.9000000000,-0.7064455545
100,3.9500000000,-0.7074198920
100,4.0000000000,-0.7065814522
100,4.0500000000,-0.7039345606
100,4.1000000000,-0.6994879514
100,4.1500000000,-0.6932547512
100,4.2000000000,-0.6852524514
100,4.2500000000,-0.6755028699
100,4.3000000000,-0.6640321009
100,4.3500000000,-0.6508704545
100,4.4000000000,-0.6360523850
100,4.4500000000,-0.6196164093
100,4.5000000000,-0.6016050139
100,4.5500000000,-0.5820645532
100,4.6000000000,-0.5610451364
100,4.6500000000,-0.5386005059
100,4.7000000000,-0.5147879063
100,4.7500000000,-0.4896679442
100,4.8000000000,-0.4633044393
100,4.8500000000,-0.4357642682
100,4.9000000000,-0.4071171992
100,4.9500000000,-0.3774357207
100,5.0000000000,-0.3467948626
1000,0.0000000000,1.0000000000
1000,0.0050000000,1.0000000000
1000,0.0100000000,0.9999999375
1000,0.0150000000,0.9999996878
1000,0.0200000000,0.9999991269
1000,0.0250000000,0.9999981313
1000,0.0300000000,0.9999965782
1000,0.0350000000,0.9999943455
1000,0.0400000000,0.9999913116
1000,0.0450000000,0.9999873555
1000,0.0500000000,0.9999823571
1000,0.0550000000,0.9999761966
1000,0.0600000000,0.9999687551
1000,0.0650000000,0.9999599140
1000,0.0700000000,0.9999495556
1000,0.0750000000,0.9999375629
1000,0.0800000000,0.9999238191
1000,0.0850000000,0.9999082086
1000,0.0900000000,0.9998906159
1000,0.0950000000,0.9998709265
1000,0.1000000000,0.9998490263
1000,0.1050000000,0.9998248020
1000,0.1100000000,0.9997981408
1000,0.1150000000,0.9997689306
1000,0.1200000000,0.9997370599
1000,0.1250000000,0.9997024178
1000,0.1300000000,0.9996648940
1000,0.1350000000,0.9996243790
1000,0.1400000000,0.9995807638
1000,0.1450000000,0.9995339399
1000,0.1500000000,0.9994837998
1000,0.1550000000,0.9994302361
1000,0.1600000000,0.9993731426
1000,0.1650000000,0.9993124133
1000,0.1700000000,0.9992479430
1000,0.1750000000,0.9991796271
1000,0.1800000000,0.9991073617
1000,0.1850000000,0.9990310434
1000,0.1900000000,0.9989505694
1000,0.1950000000,0.9988658377
1000,0.2000000000,0.9987767469
1000,0.2050000000,0.9986831960
1000,0.2100000000,0.9985850850
1000,0.2150000000,0.9984823141
1000,0.2200000000,0.9983747845
1000,0.2250000000,0.9982623979
1000,0.2300000000,0.9981450564
1000,0.2350000000,0.9980226631
1000,0.2400000000,0.9978951215
1000,0.2450000000,0.9977623358
1000,0.2500000000,0.9976242107
1000,0.2550000000,0.9974806518
1000,0.2600000000,0.9973315650
1000,0.2650000000,0.9971768570
1000,0.2700000000,0.9970164353
1000,0.2750000000,0.9968502076
1000,0.2800000000,0.9966780825
1000,0.2850000000,0.9964999693
1000,0.2900000000,0.9963157777
1000,0.2950000000,0.9961254182
1000,0.3000000000,0.9959288018
1000,0.3050000000,0.9957258403
1000,0.3100000000,0.9955164458
1000,0.3150000000,0.9953005314
1000,0.3200000000,0.9950780107
1000,0.3250000000,0.9948487977
1000,0.3300000000,0.9946128074
1000,0.3350000000,0.9943699550
1000,0.3400000000,0.9941201568
1000,0.3450000000,0.9938633294
1000,0.3500000000,0.9935993900
1000,0.3550000000,0.9933282566
1000,0.3600000000,0.9930498477
1000,0.3650000000,0.9927640826
1000,0.3700000000,0.9924708810
1000,0.3750000000,0.9921701633
1000,0.3800000000,0.9918618506
1000,0.3850000000,0.9915458646
1000,0.3900000000,0.9912221274
1000,0.3950000000,0.9908905621
1000,0.4000000000,0.9905510921
1000,0.4050000000,0.9902036416
1000,0.4100000000,0.9898481354
1000,0.4150000000,0.9894844988
1000,0.4200000000,0.9891126579
1000,0.4250000000,0.9887325393
1000,0.4300000000,0.9883440703
1000,0.4350000000,0.9879471787
1000,0.4400000000,0.9875417930
1000,0.4450000000,0.9871278424
1000,0.4500000000,0.9867052565
1000,0.4550000000,0.9862739657
1000,0.4600000000,0.9858339010
1000,0.4650000000,0.9853849940
1000,0.4700000000,0.9849271769
1000,0.4750000000,0.9844603824
1000,0.4800000000,0.9839845441
1000,0.4850000000,0.9834995960
1000,0.4900000000,0.9830054728
1000,0.4950000000,0.9825021097
1000,0.5000000000,0.9819894427
1000,0.5050000000,0.9814674083
1000,0.5100000000,0.9809359436
1000,0.5150000000,0.9803949864
1000,0.5200000000,0.9798444751
1000,0.5250000000,0.9792843486
1000,0.5300000000,0.9787145466
1000,0.5350000000,0.9781350092
1000,0.5400000000,0.9775456773
1000,0.5450000000,0.9769464923
1000,0.5500000000,0.9763373963
1000,0.5550000000,0.9757183320
1000,0.5600000000,0.9750892425
1000,0.5650000000,0.9744500719
1000,0.5700000000,0.9738007645
1000,0.5750000000,0.9731412655
1000,0.5800000000,0.9724715207
1000,0.5850000000,0.9717914764
1000,0.5900000000,0.9711010794
1000,0.5950000000,0.9704002774
1000,0.6000000000,0.9696890185
1000,0.6050000000,0.9689672515
1000,0.6100000000,0.9682349257
1000,0.6150000000,0.9674919912
1000,0.6200000000,0.9667383985
1000,0.6250000000,0.9659740988
1000,0.6300000000,0.9651990439
1000,0.6350000000,0.9644131862
1000,0.6400000000,0.9636164788
1000,0.6450000000,0.9628088751
1000,0.6500000000,0.9619903296
1000,0.6550000000,0.9611607969
1000,0.6600000000,0.9603202326
1000,0.6650000000,0.9594685926
1000,0.6700000000,0.9586058336
1000,0.6750000000,0.9577319127
1000,0.6800000000,0.9568467879
1000,0.6850000000,0.9559504176
1000,0.6900000000,0.9550427607
1000,0.6950000000,0.9541237770
1000,0.7000000000,0.9531934266
1000,0.7050000000,0.9522516704
1000,0.7100000000,0.9512984698
1000,0.7150000000,0.9503337869
1000,0.7200000000,0.9493575841
1000,0.7250000000,0.9483698249
1000,0.7300000000,0.9473704728
1000,0.7350000000,0.9463594925
1000,0.7400000000,0.9453368488
1000,0.7450000000,0.9443025073
1000,0.7500000000,0.9432564343
1000,0.7550000000,0.9421985965
1000,0.7600000000,0.9411289612
1000,0.7650000000,0.9400474965
1000,0.7700000000,0.9389541708
1000,0.7750000000,0.9378489533
1000,0.7800000000,0.9367318137
1000,0.7850000000,0.9356027223
1000,0.7900000000,0.9344616500
1000,0.7950000000,0.9333085684
1000,0.8000000000,0.9321434493
1000,0.8050000000,0.9309662656
1000,0.8100000000,0.9297769905
1000,0.8150000000,0.9285755977
1000,0.8200000000,0.9273620617
1000,0.8250000000,0.9261363574
1000,0.8300000000,0.9248984605
1000,0.8350000000,0.9236483469
1000,0.8400000000,0.9223859936
1000,0.8450000000,0.9211113778
1000,0.8500000000,0.9198244773
1000,0.8550000000,0.9185252707
1000,0.8600000000,0.9172137368
1000,0.8650000000,0.9158898555
1000,0.8700000000,0.9145536068
1000,0.8750000000,0.9132049715
1000,0.8800000000,0.9118439309
1000,0.8850000000,0.9104704670
1000,0.8900000000,0.9090845622
1000,0.8950000000,0.9076861995
1000,0.9000000000,0.9062753626
1000,0.9050000000,0.9048520356
1000,0.9100000000,0.9034162033
1000,0.9150000000,0.9019678511
1000,0.9200000000,0.9005069647
1000,0.9250000000,0.8990335306
1000,0.9300000000,0.8975475360
1000,0.9350000000,0.8960489682
1000,0.9400000000,0.8945378155
1000,0.9450000000,0.8930140665
